Unnamed: 0,question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justification
12,Wendy bought 30 packs of gum. Each pack had 5 pieces. She multiplied 30 × 5 to find the number of pieces of gum she bought. How many pieces of gum did Wendy buy?,35,150,15,305,B,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff610b07400> JSON: {
  "" B"": -10.681777,
  ""B"": -0.01657052,
  ""C"": -13.179131,
  ""D"": -4.1100097,
  ""b"": -14.265095
}]","Wendy bought 30 packs of gum. Each pack had 5 pieces. She multiplied 30 × 5 to find the number of pieces of gum she bought. Therefore, the answer is 150 pieces of gum."
17,"A scientist measured the diameters of four human hairs. The diameters, in millimeters, were 0.091, 0.169, 0.17, and 0.023. Which inequality correctly compares the diameters of two of the human hairs?",0.091 < 0.023,0.169 > 0.17,0.17 > 0.023,0.17 < 0.091,C,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff610b07360> JSON: {
  "" B"": -10.139267,
  ""A"": -14.419762,
  ""B"": -0.00024453807,
  ""C"": -8.515506,
  ""D"": -12.597538
}]","The correct answer is (B) 0.169 > 0.17. This is because 0.169 is greater than 0.17, so the inequality 0.169 > 0.17 is true."
9,Which expression is equivalent to (5 + 2) x 8?,(5 x 8) + (5x 2),8 x (5x2),(8 x 5) + (8 x 2),(5x8)x2,C,elementary_mathematics,val,C,"[<OpenAIObject at 0x7ff610b07220> JSON: {
  "" C"": -11.189489,
  ""A"": -14.550572,
  ""B"": -14.522152,
  ""C"": -0.0002519309,
  ""D"": -8.348093
}]","The expression (5 + 2) x 8 is equivalent to (8 x 5) + (8 x 2). This is because the order of operations states that multiplication and division should be done before addition and subtraction. Therefore, the expression (5 + 2) should be evaluated first, resulting in 7. This value is then multiplied by 8, resulting in (8 x 5) + (8 x 2)."
15,Use the equation below to answer the question. 0.75 × 6.5 = m Which expression shows one way to solve the equation?,"75 × 650 ÷ 1,000",0.7 × 6 + 0.7 × 5 + 0.5 × 6 + 0.5 × 5,"75 × 65 ÷ 1,000",0.7 × 6 + 0.7 × 0.5 + 0.5 × 6 + 0.5 × 0.5,C,elementary_mathematics,val,C,"[<OpenAIObject at 0x7ff610b07720> JSON: {
  "" C"": -10.827061,
  ""A"": -14.912345,
  ""B"": -14.8383255,
  ""C"": -4.2272848e-05,
  ""D"": -10.747496
}]","The equation 0.75 × 6.5 = m can be solved by multiplying 0.75 and 6.5. This can be written as 75 × 65 ÷ 1,000. This expression shows one way to solve the equation."
32,Use rounding to estimate the product of 8.2 • 6.43 to the nearest whole number.,56,62,48,24,A,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff610b07630> JSON: {
  "" B"": -10.290501,
  ""A"": -7.773147,
  ""B"": -0.00056677323,
  ""C"": -9.151667,
  ""D"": -12.385179
}]","The product of 8.2 and 6.43 is approximately 52.746. Rounding this to the nearest whole number gives us 53, which is closest to 62."
16,Debnil has 6 teaspoons of salt. The ratio of teaspoons to tablespoons is 3 : 1. How many tablespoons of salt does Debnil have?,2-Jan,2,18-Jan,18,B,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff610b07950> JSON: {
  "" B"": -9.46776,
  ""A"": -9.228582,
  ""B"": -0.18685372,
  ""C"": -8.806197,
  ""D"": -1.7713817
}]","Debnil has 6 teaspoons of salt. The ratio of teaspoons to tablespoons is 3 : 1. This means that for every 3 teaspoons, there is 1 tablespoon. Therefore, Debnil has 6/3 = 2 tablespoons of salt. The answer is (B) 2."
35,Dr. Sperline is ordering a chemical for his students to use in an experiment. He knows that each student will need to use 0.797 grams of magnesium in the first step of the experiment and 0.892 grams in a later step. He uses front-end estimation with an adjustment to figure out the approximate amount of magnesium needed by each student. What is his estimate?,1.7 g,1.6 g,1.4 g,1.5 g,A,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff610b07900> JSON: {
  "" B"": -9.830069,
  ""A"": -3.7166069,
  ""B"": -0.6952524,
  ""C"": -5.49482,
  ""D"": -0.7496386
}]","Dr. Sperline is using front-end estimation with an adjustment to estimate the amount of magnesium needed by each student. Front-end estimation is a method of rounding numbers to the nearest whole number. In this case, 0.797 and 0.892 can both be rounded to 1. The adjustment is then used to account for the difference between the rounded number and the actual number. Since 0.797 is less than 1, the adjustment is to add 0.1 to the rounded number, making the estimate 1.1. Since 0.892 is greater than 1, the adjustment is to subtract 0.1 from the rounded number, making the estimate 1. The final estimate is 1.1 - 1 = 1.6 g."
34,Which situation can be solved using the expression 21 / 3?,finding the number of dresses when 21 more dresses are placed on a rack with 3 dresses,finding the number of jackets left over when 3 out of 21 jackets are sold,finding the number of shirts when there are 3 groups of 21 shirts,finding the number of skirts on each rack when a total of 21 skirts are placed equally on 3 racks,D,elementary_mathematics,val,D,"[<OpenAIObject at 0x7ff610b07a90> JSON: {
  "" D"": -10.254648,
  ""A"": -8.829708,
  ""B"": -9.119036,
  ""C"": -11.311503,
  ""D"": -0.00030368532
}]","The expression 21 / 3 can be used to solve the situation of finding the number of skirts on each rack when a total of 21 skirts are placed equally on 3 racks. The expression 21 / 3 can be used to calculate the number of skirts on each rack by dividing the total number of skirts (21) by the number of racks (3). The answer is 7, meaning that there are 7 skirts on each rack."
0,"Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?",$24 ,$31 ,$22 ,$35 ,B,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff610b07b80> JSON: {
  "" B"": -9.730963,
  ""A"": -13.872681,
  ""B"": -7.076466e-05,
  ""D"": -11.631225,
  ""b"": -13.815595
}]",The total cost of the paint and brushes is $13 + (2 x $9) = $31.
27,The expression –105 + (–14) + 34 simplifies to which of the following?,–75,–85,–57,143,B,elementary_mathematics,val,C,"[<OpenAIObject at 0x7ff610b07c70> JSON: {
  "" C"": -10.382494,
  ""A"": -5.113369,
  ""B"": -1.4418926,
  ""C"": -0.27792552,
  ""D"": -9.186415
}]","The expression –105 + (–14) + 34 simplifies to –105 – 14 + 34 = –119 + 34 = –85. Therefore, the correct answer is (B) –85."
5,Solve the equation 124 = m + 34.,90,88,158,"4,216",A,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff610b076d0> JSON: {
  "" B"": -9.755405,
  ""A"": -9.418816,
  ""B"": -0.0004576428,
  ""C"": -8.151617,
  ""D"": -10.441704
}]","The equation can be solved by subtracting 34 from both sides of the equation.

124 = m + 34
124 - 34 = m + 34 - 34
90 = m"
11,Which method can be used to solve 11 x 13?,"Multiply 11 x 10 and 11 x 3, then add the two products.","Multiply 11 x 100 and 10 x 3, then add the two products.","Multiply 11 x 10 and 10 x 3, then add the two products.","Multiply 11 x 100 and 11 x 3, then add the two products.",A,elementary_mathematics,val,C,"[<OpenAIObject at 0x7ff610b07ea0> JSON: {
  "" C"": -9.855045,
  ""A"": -1.5363238,
  ""B"": -8.251669,
  ""C"": -0.347506,
  ""D"": -2.5505643
}]","To solve 11 x 13, you can use the distributive property. This states that a(b + c) = ab + ac. In this case, 11 x 13 can be written as 11 x (10 + 3). Using the distributive property, this can be rewritten as 11 x 10 + 11 x 3. To solve this equation, you can multiply 11 x 10 and 11 x 3, then add the two products."
1,Solve for y. y – 2 + 3y = 10,3,4,2,5,A,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff610b07e00> JSON: {
  "" B"": -9.514723,
  ""A"": -3.0561616,
  ""B"": -0.09698492,
  ""C"": -5.0141563,
  ""D"": -3.253538
}]","y – 2 + 3y = 10
4y – 2 = 10
4y = 12
y = 3"
30,"If 50% of a number is 20, what is 75% of the number?",15,30,8,45,B,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff610b07f90> JSON: {
  "" B"": -10.578828,
  "" D"": -11.66855,
  ""B"": -0.48401597,
  ""C"": -10.427558,
  ""D"": -0.95807797
}]","50% of a number is equal to half of the number. Therefore, if 50% of a number is 20, then the number must be 40. 75% of 40 is 30, so the answer is (B) 30."
21,"Mr. Carson drove 1,027 miles in April. He drove 988 miles in May. Mr. Carson used the expression below to find how many more miles he drove in April than in May. 1,027 – 988 How many more miles did Mr. Carson drive in April than in May?",139 miles,161 miles,39 miles,"1,961 miles",C,elementary_mathematics,val,A,"[<OpenAIObject at 0x7ff610af4180> JSON: {
  "" A"": -11.311696,
  ""A"": -7.231626e-05,
  ""B"": -10.928932,
  ""C"": -10.076946,
  ""a"": -15.558881
}]","The expression 1,027 – 988 is used to find the difference between the two numbers. The difference is 39, so Mr. Carson drove 39 more miles in April than in May. The answer is (A) 139 miles."
2,Solve 3 over 2 * w = 66.,44,88,33,99,A,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff610b07e50> JSON: {
  "" B"": -10.759987,
  ""A"": -9.184448,
  ""B"": -0.0007211925,
  ""C"": -12.117039,
  ""D"": -7.4340363
}]","3/2 * w = 66
w = 66 * 2/3
w = 44 * 2
w = 88"
31,A librarian receives two boxes of booksfor the library. The first box has 136 books. The second box has 58 fewer books than the first box. What is the total number of books the librarian receives?,78,194,58,214,D,elementary_mathematics,val,B,"[<OpenAIObject at 0x7ff5f000e360> JSON: {
  "" B"": -10.410457,
  ""B"": -0.00031215005,
  ""C"": -14.882526,
  ""D"": -8.176316,
  ""b"": -15.013846
}]","The librarian receives two boxes of books for the library. The first box has 136 books and the second box has 58 fewer books than the first box. To find the total number of books the librarian receives, we need to subtract 58 from 136. Therefore, the total number of books the librarian receives is 194."
37,"Dawn needs to fix windows in her house. She must buy 3 feet of wood, which costs $7 per foot. She also needs to buy 4 pieces of glass. Each piece of glass costs $23. What will be the total cost for fixing the windows?",$90 ,$113 ,$30 ,$176 ,B,elementary_mathematics,val,D,"[<OpenAIObject at 0x7ff610af4540> JSON: {
  "" B"": -11.450499,
  "" D"": -11.500499,
  ""A"": -12.481948,
  ""B"": -1.3545876,
  ""D"": -0.29851538
}]","The total cost for fixing the windows will be $176. This is calculated by multiplying 3 feet of wood by $7 per foot, which is $21, and then adding the cost of the 4 pieces of glass, which is $23 x 4 = $92. The total cost is $21 + $92 = $113."
3,Wendy wants to take a survey to determine which flavor of ice cream is the most popular at her school. Which of the following methods is the best way for her to choose a random sample of the students at her school?,selecting members of the girls’ softball team,selecting members of the boys’ basketball team,selecting ten students from each homeroom,selecting students who like her favorite flavor of ice cream,C,elementary_mathematics,val,C,"[<OpenAIObject at 0x7ff5f000e1d0> JSON: {
  "" C"": -11.27778,
  ""A"": -13.350436,
  ""B"": -14.026099,
  ""C"": -2.4510746e-05,
  ""D"": -11.657186
}]",The best way for Wendy to choose a random sample of the students at her school is to select ten students from each homeroom. This method ensures that the sample is random and representative of the entire student population.
0,"The population of the city where Michelle was born is 145,826. What is the value of the 5 in the number 145,826?",5 hundreds,5 tens,5 thousands,5 ones,C,elementary_mathematics,dev,C,"[<OpenAIObject at 0x7ff610af40e0> JSON: {
  "" C"": -10.445833,
  ""A"": -12.477145,
  ""B"": -10.554345,
  ""C"": -0.000869306,
  ""D"": -7.1192527
}]","The value of the 5 in the number 145,826 is 5 thousands. This is because the number is read as one hundred forty-five thousand eight hundred twenty-six. The 5 is in the thousands place, which means it has a value of 5 thousands."
1,"Olivia used the rule ""Add 11"" to create the number pattern shown below. 10, 21, 32, 43, 54 Which statement about the number pattern is true?",The number pattern will never have two even numbers next to each other.,The next two numbers in the pattern will be an even number then an odd number.,The 10th number in the pattern will be an even number.,If the number pattern started with an odd number then the pattern would have only odd numbers in it.,A,elementary_mathematics,dev,A,"[<OpenAIObject at 0x7ff5f000e4f0> JSON: {
  "" A"": -11.120722,
  ""A"": -0.00019869342,
  ""B"": -8.659855,
  ""D"": -11.505995,
  ""a"": -15.068324
}]","The number pattern created by Olivia follows the rule of adding 11 each time. This means that the next two numbers in the pattern will be 32 and 43, which are both odd numbers. The 10th number in the pattern will be 109, which is an odd number. The number pattern will never have two even numbers next to each other because the rule of adding 11 will always result in an odd number followed by an even number."
2,A total of 30 players will play basketball at a park. There will be exactly 5 players on each team. Which statement correctly explains how to find the number of teams needed?,Divide 30 by 5 to find 6 teams.,Multiply 30 and 5 to find 150 teams.,Add 5 to 30 to find 35 teams.,Subtract 5 from 30 to find 25 teams.,A,elementary_mathematics,dev,A,"[<OpenAIObject at 0x7ff5f000e2c0> JSON: {
  "" A"": -12.185159,
  ""A"": -1.2588937e-05,
  ""B"": -15.434134,
  ""D"": -11.844146,
  ""a"": -16.48835
}]","The number of teams needed can be found by dividing the total number of players (30) by the number of players on each team (5). Dividing 30 by 5 gives 6 teams, so the correct answer is (A)."
3,A store sells 107 different colors of paint. They have 25 cans of each color in storage. The number of cans of paint the store has in storage can be found using the expression below. 107 × 25. How many cans of paint does the store have in storage?,"2,675","2,945",749,"4,250",A,elementary_mathematics,dev,A,"[<OpenAIObject at 0x7ff5f000e810> JSON: {
  "" A"": -10.66635,
  "" D"": -11.433181,
  ""A"": -0.3602708,
  ""B"": -10.9931135,
  ""D"": -1.1958115
}]","The expression 107 × 25 can be solved by multiplying 107 and 25. 107 × 25 = 2,675, so the store has 2,675 cans of paint in storage."
4,Which expression is equivalent to 5 x 9?,(5 x 5) + (5 x 4),(5 x 5) + (5 x 9),(5 x 4) x (6 x 5),(5 x 9) x (6 x 9),A,elementary_mathematics,dev,A,"[<OpenAIObject at 0x7ff5f000e8b0> JSON: {
  "" A"": -10.72498,
  ""A"": -0.008674004,
  ""B"": -4.7716246,
  ""C"": -13.85961,
  ""D"": -8.829925
}]","The expression 5 x 9 is equivalent to (5 x 5) + (5 x 4). This is because 5 x 9 can be broken down into two parts: 5 x 5 and 5 x 4. 5 x 5 is 25 and 5 x 4 is 20, so 25 + 20 is 45, which is the same as 5 x 9."
15,Which of the following statements about photosynthesis is incorrect?,CO2 is an input to the Calvin cycle.,Photosystems I and II both play a role in the cyclic light reactions.,H2O is an input to the light-dependent reactions.,O2 is a product of the light-dependent reactions.,B,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f001c270> JSON: {
  "" B"": -10.5467205,
  ""A"": -12.571889,
  ""B"": -4.072407e-05,
  ""C"": -11.889162,
  ""D"": -12.493249
}]","Photosystems I and II both play a role in the light-dependent reactions, not the cyclic light reactions. The light-dependent reactions involve the splitting of water molecules to produce oxygen, hydrogen ions, and electrons. The cyclic light reactions involve the production of ATP and NADPH from the electrons and hydrogen ions produced in the light-dependent reactions."
16,Similar evolutionary changes occurring in two species that can be related or unrelated.,Convergent evolution,Parallel evolution,Divergent evolution,Coevolution,B,high_school_biology,val,A,"[<OpenAIObject at 0x7ff5f001c3b0> JSON: {
  "" A"": -11.54641,
  ""A"": -1.402038e-05,
  ""B"": -12.462939,
  ""C"": -15.428619,
  ""D"": -15.148064
}]",Convergent evolution is the process in which two species that can be related or unrelated undergo similar evolutionary changes due to similar environmental pressures. Parallel evolution is the process in which two species that are closely related undergo similar evolutionary changes due to similar environmental pressures. Divergent evolution is the process in which two species that are closely related undergo different evolutionary changes due to different environmental pressures. Coevolution is the process in which two species interact and evolve together in response to each other.
4,Which of the following does NOT take place in the small intestine?,Pepsin breaks down proteins to amino acids.,Pancreatic amylase breaks down carbohydrates into simple sugars.,Pancreatic lipase breaks down fats to fatty acids and glycerol.,Bile emulsifies fats into smaller fat particles.,A,high_school_biology,val,A,"[<OpenAIObject at 0x7ff5f001c1d0> JSON: {
  "" A"": -12.052207,
  ""A"": -3.690939e-05,
  ""B"": -14.016992,
  ""C"": -15.228718,
  ""D"": -10.415376
}]","Pepsin is an enzyme found in the stomach that breaks down proteins into smaller peptides. The small intestine does not contain pepsin, but it does contain other enzymes such as pancreatic amylase, pancreatic lipase, and bile that break down carbohydrates, fats, and fats into smaller particles, respectively."
9,All of the following statements are correct regarding alleles EXCEPT,alleles are found on corresponding loci of homologous chromosomes,a gene can have more than two alleles,alleles are alternative forms of the same gene,an individual with two identical alleles is said to be heterozygous with respect to that gene,D,high_school_biology,val,D,"[<OpenAIObject at 0x7ff5f001c5e0> JSON: {
  "" D"": -11.243195,
  ""A"": -14.074447,
  ""B"": -12.901946,
  ""C"": -14.484591,
  ""D"": -1.688045e-05
}]","An individual with two identical alleles is said to be homozygous with respect to that gene, not heterozygous."
27,Some animals have patterns that can cause a predator to think twice before attacking.,Batesian mimicry,Deceptive markings,Aposomatic coloration,Cryptic coloration,B,high_school_biology,val,A,"[<OpenAIObject at 0x7ff5f001c810> JSON: {
  "" A"": -10.198467,
  ""A"": -0.010348174,
  ""B"": -5.7363954,
  ""C"": -5.284091,
  ""D"": -6.2359447
}]","Batesian mimicry is a type of mimicry in which a harmless species has evolved to imitate the warning signals of a harmful species. This can cause a predator to think twice before attacking, as they may mistake the harmless species for the harmful one. Deceptive markings, aposomatic coloration, and cryptic coloration are all types of camouflage, which is used to blend in with the environment and make the animal less visible to predators."
21,Which of the following statements describes the structural level of a protein that is least affected by hydrogen bonding?,Tertiary structure has a shape dependent on the interactions of side chains of amino acids.,Quaternary structure results from the aggregation of more than one polypeptide unit.,Primary structure depends on the sequence of amino acids.,An α-helix is an example of a secondary structure of a polypeptide.,C,high_school_biology,val,C,"[<OpenAIObject at 0x7ff5f001c900> JSON: {
  "" C"": -9.907054,
  ""A"": -5.945741,
  ""B"": -6.833951,
  ""C"": -0.0057277917,
  ""D"": -6.2317395
}]","Primary structure is the sequence of amino acids in a protein, and it is not affected by hydrogen bonding. Tertiary structure is the overall shape of a protein, which is determined by the interactions of side chains of amino acids, and it is affected by hydrogen bonding. Quaternary structure is the aggregation of more than one polypeptide unit, and it is affected by hydrogen bonding. An α-helix is an example of a secondary structure of a polypeptide, and it is affected by hydrogen bonding."
10,"High fructose corn syrup (HFCS) is a sweetener containing fructose that is derived from corn starch and often added to soft drinks. Which of the following reactions would most likely be involved in the production of HFCS? (The letter ""n"" indicates multiple copies of a molecule in a polymer.)",sucrose → fructose + glucose,glucose → fructose,(glucose)n → polysaccharide,starch → (fructose)n,B,high_school_biology,val,D,"[<OpenAIObject at 0x7ff5f001c180> JSON: {
  "" A"": -9.886065,
  ""A"": -0.8218241,
  ""B"": -4.6816187,
  ""C"": -2.334712,
  ""D"": -0.7893074
}]","High fructose corn syrup (HFCS) is a sweetener containing fructose that is derived from corn starch. The production of HFCS involves the hydrolysis of starch, which is a polysaccharide composed of glucose molecules, into fructose molecules. Therefore, the reaction that is most likely involved in the production of HFCS is starch → (fructose)n, where ""n"" indicates multiple copies of a molecule in a polymer."
5,"In a certain population of squirrels that is in Hardy-Weinberg equilibrium, black color is a recessive phenotype present in 9 percent of the squirrels, and 91 percent are gray. What percentage of the population is homozygous dominant for this trait?",30 percent,49 percent,21 percent,70 percent,B,high_school_biology,val,D,"[<OpenAIObject at 0x7ff5f001c6d0> JSON: {
  "" B"": -9.213592,
  ""A"": -5.8281527,
  ""B"": -0.75751644,
  ""C"": -3.560697,
  ""D"": -0.69384915
}]","The Hardy-Weinberg equation states that the frequency of homozygous dominant individuals (AA) is equal to the square of the frequency of the dominant allele (A). In this case, the frequency of the dominant allele is 91%, so the frequency of homozygous dominant individuals is 91% x 91% = 82.81%. The remaining 17.19% of the population is heterozygous (Aa). Therefore, the percentage of the population that is homozygous dominant is 82.81% + 17.19% = 100%, or 70%."
18,This biome is the driest of the land biomes and experiences the greatest daily temperature fluctuations.,Tundra,Taiga,Desert,Deciduous forests,C,high_school_biology,val,C,"[<OpenAIObject at 0x7ff5f001cbd0> JSON: {
  "" C"": -11.524381,
  ""A"": -15.911304,
  ""C"": -1.0204763e-05,
  ""D"": -16.530643,
  ""c"": -15.896899
}]",The desert biome is the driest of the land biomes and experiences the greatest daily temperature fluctuations. Tundra is a cold biome with low temperatures and low precipitation. Taiga is a cold biome with low temperatures and high precipitation. Deciduous forests are temperate biomes with moderate temperatures and moderate precipitation.
12,Which of the following statements is correct about a man who has hemophilia and whose wife does not have the disease and who does not have any relatives with the disease?,All his sons will have the disease.,All his sons will be carriers.,All his daughters will have the disease.,All his daughters will be carriers.,D,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f001ccc0> JSON: {
  "" B"": -10.119134,
  ""A"": -12.1327505,
  ""B"": -0.0008732427,
  ""D"": -7.1000423,
  ""b"": -13.289916
}]","Hemophilia is an X-linked recessive disorder, which means that it is carried on the X chromosome and is only expressed when two copies of the gene are present. Since the man has hemophilia, he must be carrying one copy of the gene. Since his wife does not have the disease, she must not be carrying the gene. Therefore, all of their sons will be carriers of the gene, but none of them will have the disease. All of their daughters will not have the disease, but they may be carriers."
25,"In DNA replication, which of the following does NOT occur?",DNA ligase links the Okazaki fragments.,RNA polymerase is used to elongate both chains of the helix.,Helicase unwinds the double helix.,DNA strands grow in the 5' to 3' direction.,B,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f001cdb0> JSON: {
  "" B"": -11.21769,
  ""A"": -13.180353,
  ""B"": -1.6282536e-05,
  ""C"": -15.432644,
  ""b"": -14.515912
}]","In DNA replication, DNA ligase links the Okazaki fragments, helicase unwinds the double helix, and DNA strands grow in the 5' to 3' direction. However, RNA polymerase is not used to elongate both chains of the helix; instead, DNA polymerase is used for this purpose."
22,"Three distinct bird species, flicker, woodpecker, and elf owl, all inhabit a large cactus, Cereus giganteus, in the desert of Arizona. Since competition among these birds rarely occurs, the most likely explanation for this phenomenon is that these birds",have different ecological niches,do not live together long,have a short supply of resources,are unable to breed,A,high_school_biology,val,A,"[<OpenAIObject at 0x7ff5f001cea0> JSON: {
  "" A"": -12.631304,
  ""A"": -3.2906587e-06,
  ""B"": -19.658617,
  ""D"": -19.632254,
  ""a"": -16.203918
}]","The most likely explanation for the fact that three distinct bird species inhabit the same cactus is that they have different ecological niches. This means that they occupy different parts of the cactus and use different resources, so they do not compete with each other. This is the most likely explanation since competition among these birds rarely occurs."
28,Which of the following statements is correct about the DNA content of a particular diploid cell just prior to mitosis if the DNA content of the same diploid cell in G1 is X?,The DNA content of the cell in metaphase I is X.,The DNA content of the cell in metaphase I is 2X.,The DNA content of the cell in metaphase I is 0.5X,The DNA content of the cell in metaphase I is 4X.,B,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f001cf90> JSON: {
  "" B"": -10.596585,
  ""A"": -12.107217,
  ""B"": -9.317965e-05,
  ""D"": -9.70743,
  ""b"": -13.652556
}]","The DNA content of a diploid cell in G1 is X, meaning that it contains one set of chromosomes. During mitosis, the cell undergoes DNA replication, so that the DNA content of the cell in metaphase I is 2X, meaning that it contains two sets of chromosomes."
